# ACTS Test Suite Generation: Tue May 17 13:07:45 CST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 7
# Maximum number of values per parameter: 11
# Number of configurations: 1066
bookingType,date1,origin1,destination1,date2,origin2,destination2
one_way,1,Dalian,Tokyo,0,null,null
multi_trip,1,Dalian,Beijing,1,Beijing,Tokyo
multi_trip,5,Nanjing,Dalian,5,Dalian,Nanjing
multi_trip,6,Nanjing,Dalian,6,Dalian,Nanjing
multi_trip,1,Beijing,Shanghai,1,Shanghai,Beijing
round_trip,1,Beijing,Singapore,1,Singapore,Beijing
round_trip,1,Nanjing,Beijing,8,Beijing,Nanjing
round_trip,1,Paris,Beijing,4,Beijing,Paris
multi_trip,1,Shanghai,London,1,London,Shanghai
multi_trip,2,Shanghai,London,2,London,Shanghai
multi_trip,1,Tokyo,Beijing,2,Beijing,Dalian
round_trip,1,Singapore,Beijing,3,Beijing,Singapore
round_trip,1,London,Beijing,5,Beijing,London
multi_trip,1,Tokyo,Beijing,6,Beijing,Shanghai
multi_trip,1,Shanghai,Beijing,7,Beijing,Dalian
multi_trip,1,Singapore,Beijing,9,Beijing,Tokyo
multi_trip,1,London,Beijing,10,Beijing,Singapore
multi_trip,2,Paris,Beijing,2,Beijing,London
multi_trip,2,Dalian,Beijing,3,Beijing,Paris
multi_trip,2,Singapore,Beijing,4,Beijing,Dalian
round_trip,2,Tokyo,Beijing,5,Beijing,Tokyo
multi_trip,2,Shanghai,Beijing,6,Beijing,Singapore
multi_trip,2,London,Beijing,7,Beijing,Shanghai
multi_trip,2,Nanjing,Beijing,8,Beijing,London
multi_trip,2,Paris,Beijing,9,Beijing,Nanjing
multi_trip,2,Tokyo,Beijing,10,Beijing,Paris
multi_trip,3,London,Beijing,3,Beijing,Dalian
multi_trip,3,Shanghai,Beijing,4,Beijing,Tokyo
multi_trip,3,Dalian,Beijing,5,Beijing,Singapore
multi_trip,3,Singapore,Beijing,6,Beijing,London
multi_trip,3,Nanjing,Beijing,7,Beijing,Paris
multi_trip,3,Paris,Beijing,8,Beijing,Shanghai
multi_trip,3,Tokyo,Beijing,9,Beijing,Nanjing
round_trip,3,Dalian,Beijing,10,Beijing,Dalian
multi_trip,4,Nanjing,Beijing,4,Beijing,Singapore
multi_trip,4,Singapore,Beijing,5,Beijing,Paris
multi_trip,4,London,Beijing,6,Beijing,Tokyo
multi_trip,4,Dalian,Beijing,7,Beijing,London
multi_trip,4,Paris,Beijing,8,Beijing,Dalian
round_trip,4,Shanghai,Beijing,9,Beijing,Shanghai
multi_trip,4,Singapore,Beijing,10,Beijing,Nanjing
multi_trip,5,Paris,Beijing,5,Beijing,Shanghai
multi_trip,5,London,Beijing,6,Beijing,Paris
round_trip,5,Tokyo,Beijing,7,Beijing,Tokyo
multi_trip,5,Shanghai,Beijing,8,Beijing,Singapore
multi_trip,5,Nanjing,Beijing,9,Beijing,London
multi_trip,5,Dalian,Beijing,10,Beijing,Nanjing
multi_trip,6,Paris,Beijing,6,Beijing,Dalian
multi_trip,6,Tokyo,Beijing,7,Beijing,Singapore
multi_trip,6,Singapore,Beijing,8,Beijing,Tokyo
multi_trip,6,London,Beijing,9,Beijing,Paris
multi_trip,6,Shanghai,Beijing,10,Beijing,London
multi_trip,7,Singapore,Beijing,7,Beijing,Nanjing
multi_trip,7,Dalian,Beijing,8,Beijing,Paris
multi_trip,7,Nanjing,Beijing,9,Beijing,Dalian
multi_trip,7,Paris,Beijing,10,Beijing,Shanghai
round_trip,8,Tokyo,Beijing,8,Beijing,Tokyo
multi_trip,8,Dalian,Beijing,9,Beijing,Singapore
multi_trip,8,Nanjing,Beijing,10,Beijing,London
multi_trip,9,Singapore,Beijing,9,Beijing,Shanghai
multi_trip,9,Paris,Beijing,10,Beijing,Tokyo
multi_trip,10,London,Beijing,10,Beijing,Nanjing
multi_trip,1,Nanjing,Shanghai,2,Shanghai,Singapore
round_trip,1,Dalian,Shanghai,3,Shanghai,Dalian
multi_trip,1,Tokyo,Shanghai,4,Shanghai,London
multi_trip,1,Beijing,Shanghai,5,Shanghai,Paris
multi_trip,1,London,Shanghai,6,Shanghai,Nanjing
multi_trip,1,Paris,Shanghai,7,Shanghai,Tokyo
multi_trip,1,Singapore,Shanghai,8,Shanghai,Beijing
multi_trip,1,Tokyo,Shanghai,9,Shanghai,Beijing
multi_trip,1,Nanjing,Shanghai,10,Shanghai,Beijing
multi_trip,2,London,Shanghai,2,Shanghai,Beijing
multi_trip,2,Beijing,Shanghai,3,Shanghai,Singapore
multi_trip,2,Nanjing,Shanghai,4,Shanghai,Paris
multi_trip,2,Paris,Shanghai,5,Shanghai,Dalian
multi_trip,2,Dalian,Shanghai,6,Shanghai,London
multi_trip,2,Tokyo,Shanghai,7,Shanghai,Nanjing
multi_trip,2,Beijing,Shanghai,8,Shanghai,Tokyo
multi_trip,2,Beijing,Shanghai,9,Shanghai,Dalian
round_trip,2,Singapore,Shanghai,10,Shanghai,Singapore
multi_trip,3,Paris,Shanghai,3,Shanghai,Beijing
multi_trip,3,Beijing,Shanghai,4,Shanghai,Nanjing
multi_trip,3,Nanjing,Shanghai,5,Shanghai,London
multi_trip,3,Tokyo,Shanghai,6,Shanghai,Paris
multi_trip,3,Singapore,Shanghai,7,Shanghai,Dalian
multi_trip,3,London,Shanghai,8,Shanghai,Singapore
multi_trip,3,Dalian,Shanghai,9,Shanghai,Tokyo
multi_trip,3,Beijing,Shanghai,10,Shanghai,London
multi_trip,4,Dalian,Shanghai,4,Shanghai,Beijing
multi_trip,4,London,Shanghai,5,Shanghai,Nanjing
multi_trip,4,Nanjing,Shanghai,6,Shanghai,Dalian
multi_trip,4,Beijing,Shanghai,7,Shanghai,Paris
multi_trip,4,Tokyo,Shanghai,8,Shanghai,London
multi_trip,4,Paris,Shanghai,9,Shanghai,Singapore
round_trip,4,Tokyo,Shanghai,10,Shanghai,Tokyo
multi_trip,5,Singapore,Shanghai,5,Shanghai,Beijing
